"Plot Title: 16882"
"#","Date","Time, GMT-06:00","Abs Pres, psi (LGR S/N: 20757958, SEN S/N: 20757958)","Temp, °F (LGR S/N: 20757958, SEN S/N: 20757958)","Abs Pres Barom., psi (LGR S/N: 20757959, SEN S/N: 20757959)","Water Level, feet (LGR S/N: 20757958)","Coupler Detached (LGR S/N: 20757958)","Coupler Attached (LGR S/N: 20757958)","Stopped (LGR S/N: 20757958)","End Of File (LGR S/N: 20757958)"
1,07/30/20,10:09:01 AM,,,14.6021,,,,,
2,07/30/20,10:19:16 AM,14.6027,88.466,,0.473,Logged,,,
3,07/30/20,10:24:01 AM,,,14.6005,,,,,
4,07/30/20,10:34:16 AM,15.4155,83.579,,2.356,,,,
5,07/30/20,10:39:01 AM,,,14.5965,,,,,
6,07/30/20,10:49:16 AM,15.4145,83.221,,2.358,,,,
7,07/30/20,10:54:01 AM,,,14.5957,,,,,
8,07/30/20,11:04:16 AM,15.4124,83.399,,2.356,,,,
9,07/30/20,11:09:01 AM,,,14.5944,,,,,
10,07/30/20,11:19:16 AM,15.4100,83.399,,2.351,,,,
11,07/30/20,11:24:01 AM,,,14.5944,,,,,
12,07/30/20,11:34:16 AM,15.4079,83.579,,2.353,,,,
13,07/30/20,11:39:01 AM,,,14.5904,,,,,
14,07/30/20,11:49:16 AM,15.4059,83.757,,2.352,,,,
15,07/30/20,11:54:01 AM,,,14.5895,,,,,
16,07/30/20,12:04:16 PM,15.3989,83.935,,2.346,,,,
17,07/30/20,12:09:01 PM,,,14.5838,,,,,
18,07/30/20,12:19:16 PM,15.4020,84.115,,2.360,,,,
19,07/30/20,12:24:01 PM,,,14.5821,,,,,
20,07/30/20,12:34:16 PM,15.4005,84.474,,2.360,,,,
21,07/30/20,12:39:01 PM,,,14.5805,,,,,
22,07/30/20,12:49:16 PM,15.3910,84.654,,2.349,,,,
23,07/30/20,12:54:01 PM,,,14.5743,,,,,
24,07/30/20,01:04:16 PM,15.3891,84.834,,2.352,,,,
25,07/30/20,01:09:01 PM,,,14.5722,,,,,
26,07/30/20,01:19:16 PM,15.3871,85.014,,2.351,,,,
27,07/30/20,01:24:01 PM,,,14.5712,,,,,
28,07/30/20,01:34:16 PM,15.3850,85.194,,2.346,,,,
29,07/30/20,01:39:01 PM,,,14.5719,,,,,
30,07/30/20,01:49:16 PM,15.3836,85.554,,2.352,,,,
31,07/30/20,01:54:01 PM,,,14.5657,,,,,
32,07/30/20,02:04:16 PM,15.3791,85.735,,2.345,,,,
33,07/30/20,02:09:01 PM,,,14.5660,,,,,
34,07/30/20,02:19:16 PM,15.3721,85.915,,2.339,,,,
35,07/30/20,02:24:01 PM,,,14.5595,,,,,
36,07/30/20,02:34:16 PM,15.3750,86.097,,2.350,,,,
37,07/30/20,02:39:01 PM,,,14.5598,,,,,
38,07/30/20,02:49:16 PM,15.3701,86.097,,2.344,,,,
39,07/30/20,02:54:01 PM,,,14.5564,,,,,
40,07/30/20,03:04:16 PM,15.3701,86.097,,2.347,,,,
41,07/30/20,03:09:01 PM,,,14.5558,,,,,
42,07/30/20,03:19:16 PM,15.3670,85.915,,2.349,,,,
43,07/30/20,03:24:01 PM,,,14.5506,,,,,
44,07/30/20,03:34:16 PM,15.3670,85.915,,2.351,,,,
45,07/30/20,03:39:01 PM,,,14.5516,,,,,
46,07/30/20,03:49:16 PM,15.3701,86.097,,2.354,,,,
47,07/30/20,03:54:01 PM,,,14.5537,,,,,
48,07/30/20,04:04:16 PM,15.3721,85.915,,2.362,,,,
49,07/30/20,04:09:01 PM,,,14.5506,,,,,
50,07/30/20,04:19:16 PM,15.3696,85.915,,2.364,,,,
51,07/30/20,04:24:01 PM,,,14.5473,,,,,
52,07/30/20,04:34:16 PM,15.3696,85.915,,2.370,,,,
53,07/30/20,04:39:01 PM,,,14.5448,,,,,
54,07/30/20,04:49:16 PM,15.3696,85.915,,2.370,,,,
55,07/30/20,04:54:01 PM,,,14.5463,,,,,
56,07/30/20,05:04:16 PM,15.3691,85.735,,2.374,,,,
57,07/30/20,05:09:01 PM,,,14.5424,,,,,
58,07/30/20,05:19:16 PM,15.3666,85.735,,2.372,,,,
59,07/30/20,05:24:01 PM,,,14.5413,,,,,
60,07/30/20,05:34:16 PM,15.3666,85.735,,2.374,,,,
61,07/30/20,05:39:01 PM,,,14.5406,,,,,
62,07/30/20,05:49:16 PM,15.3617,85.735,,2.369,,,,
63,07/30/20,05:54:01 PM,,,14.5374,,,,,
64,07/30/20,06:04:16 PM,15.3617,85.735,,2.375,,,,
65,07/30/20,06:09:01 PM,,,14.5347,,,,,
66,07/30/20,06:19:16 PM,15.3617,85.735,,2.375,,,,
67,07/30/20,06:24:01 PM,,,14.5364,,,,,
68,07/30/20,06:34:16 PM,15.3617,85.735,,2.379,,,,
69,07/30/20,06:39:01 PM,,,14.5328,,,,,
70,07/30/20,06:49:16 PM,15.3617,85.735,,2.380,,,,
71,07/30/20,06:54:01 PM,,,14.5341,,,,,
72,07/30/20,07:04:16 PM,15.3617,85.735,,2.377,,,,
73,07/30/20,07:09:01 PM,,,14.5354,,,,,
74,07/30/20,07:19:16 PM,15.3666,85.735,,2.382,,,,
75,07/30/20,07:24:01 PM,,,14.5386,,,,,
76,07/30/20,07:34:16 PM,15.3715,85.735,,2.382,,,,
77,07/30/20,07:39:01 PM,,,14.5441,,,,,
78,07/30/20,07:49:16 PM,15.3736,85.554,,2.377,,,,
79,07/30/20,07:54:01 PM,,,14.5477,,,,,
80,07/30/20,08:04:16 PM,15.3811,85.554,,2.383,,,,
81,07/30/20,08:09:01 PM,,,14.5537,,,,,
82,07/30/20,08:19:16 PM,15.3836,85.554,,2.378,,,,
83,07/30/20,08:24:01 PM,,,14.5571,,,,,
84,07/30/20,08:34:16 PM,15.3905,85.374,,2.383,,,,
85,07/30/20,08:39:01 PM,,,14.5631,,,,,
86,07/30/20,08:49:16 PM,15.3981,85.374,,2.387,,,,
87,07/30/20,08:54:01 PM,,,14.5689,,,,,
88,07/30/20,09:04:16 PM,15.3975,85.194,,2.378,,,,
89,07/30/20,09:09:01 PM,,,14.5705,,,,,
90,07/30/20,09:19:16 PM,15.4000,85.194,,2.384,,,,
91,07/30/20,09:24:01 PM,,,14.5696,,,,,
92,07/30/20,09:34:16 PM,15.4075,85.194,,2.396,,,,
93,07/30/20,09:39:01 PM,,,14.5735,,,,,
94,07/30/20,09:49:16 PM,15.4045,85.014,,2.385,,,,
95,07/30/20,09:54:01 PM,,,14.5746,,,,,
96,07/30/20,10:04:16 PM,15.4069,85.014,,2.391,,,,
97,07/30/20,10:09:01 PM,,,14.5737,,,,,
98,07/30/20,10:19:16 PM,15.4090,84.834,,2.390,,,,
99,07/30/20,10:24:01 PM,,,14.5775,,,,,
100,07/30/20,10:34:16 PM,15.4085,84.654,,2.391,,,,
101,07/30/20,10:39:01 PM,,,14.5747,,,,,
102,07/30/20,10:49:16 PM,15.4135,84.654,,2.402,,,,
103,07/30/20,10:54:01 PM,,,14.5761,,,,,
104,07/30/20,11:04:16 PM,15.4130,84.474,,2.397,,,,
105,07/30/20,11:09:01 PM,,,14.5780,,,,,
106,07/30/20,11:19:16 PM,15.4179,84.474,,2.400,,,,
107,07/30/20,11:24:01 PM,,,14.5824,,,,,
108,07/30/20,11:34:16 PM,15.4175,84.295,,2.394,,,,
109,07/30/20,11:39:01 PM,,,14.5838,,,,,
