Sample number,Sample time,Area (ft²),Battery voltage (V),Correlation.1 (%),Correlation.2 (%),Correlation.3 (%),Correlation.4 (%),Depth (ft),Depth (pressure) (ft H₂O),Depth (vertical beam) (ft),Flow (ft³/s),Noise.1,Noise.2,Noise.3,Noise.4,Noise.5,Pitch (deg),Pressure (uncorrected) (ft H₂O),Roll (deg),Signal strength.1,Signal strength.2,Signal strength.3,Signal strength.4,SNR.1 (dB),SNR.2 (dB),SNR.3 (dB),SNR.4 (dB),Sound speed (m/s),Stage (ft),Standard deviation (vel).1 (ft/s),Standard deviation (vel).2 (ft/s),Standard deviation (vel).3 (ft/s),Standard deviation (vel).4 (ft/s),System in water (%),System status (status codes),Temperature (°F),VB percent good (%),Velocity (beam).1 (ft/s),Velocity (beam).2 (ft/s),Velocity (beam).3 (ft/s),Velocity (beam).4 (ft/s),Velocity (mean) (ft/s),Velocity (X-OBS).X-Center (Beam 1 Only) (ft/s),Velocity (X-OBS).X-Center (Beam 2 Only) (ft/s),Velocity (XZ).X-Center (ft/s),Velocity (XZ).Z-Center (ft/s),Velocity (XZ).X-Left (ft/s),Velocity (XZ).X-Right (ft/s),Volume (negative) (acre ft),Volume (positive) (acre ft),Volume (total) (acre ft)
0,2020-11-10 09:28:00,0,11.574637413024902,0,0,0,0,33.6042518140137,33.604170878028867,,0,10,10,10,10,10,-0.81999998167157173,33.604170878028867,0.46999998949468136,27,26,19,19,1.700000025331974,1.6000000238418579,0.90000001341104507,0.90000001341104507,1492.5975341796875,19.717112706402151,0.019028866483552204,0.020669286007996359,0.0078740137173319465,0.0085301815271096072,100,4736,73.969009399414062,0,0,-0.029527551000000003,0.022965872999999998,0.029527551000000003,0,0,-0.072178457999999987,-0.036089228999999994,-0.016404195,-0.052493424,-0.068897619000000007,0,0,0
1,2020-11-10 09:43:00,3.2869990574311907,11.577529907226563,8,9,,,0.28024239172138982,0.28024161105155948,0.28024239172138982,0,82,68,84,81,66,-0.81999998167157173,33.662420677003858,0.46999998949468136,311,314,,,22.900000341236591,24.600000366568565,-8.50000012665987,-8.2000001221895218,1494.4669189453125,-13.606896715890157,0.00032808390488883108,0.034448810013327259,,,97,0,75.160239791870112,34,0,-0.013123356,,,0,0,-0.03280839,-0.016404195,-0.006561678,,,0,0,0
2,2020-11-10 09:58:00,3.2748404363403822,11.577603340148926,8,7,,,0.27910262602837382,0.32055735075950625,0.27910262602837382,0,624,624,624,624,624,-0.81999998167157173,33.716554671592711,0.46999998949468136,447,454,,,-17.700000263750553,-17.00000025331974,-62.500000931322575,-62.500000931322575,1494.668212890625,-13.608036481583174,0.00065616780977766217,0.010498684956442595,,,89,512,75.289792633056635,56,0,0,,,0,0,0,0,0,,,0,0,0
3,2020-11-10 10:13:00,3.2944997118648294,11.578137397766113,9,9,,,0.2809450886958923,0.36218759543418888,0.2809450886958923,0,624,624,624,624,624,-0.8399999812245369,33.785266271018983,0.46999998949468136,489,488,,,-13.500000201165676,-13.600000202655792,-62.500000931322575,-62.500000931322575,1502.3956298828125,-13.606194018915655,0.15977686168086075,0.015419943529775061,,,90,512,80.436114883422846,55,0.055774263000000004,-0.026246712,,,0,-0.134514399,-0.062335940999999992,-0.098425169999999992,0.016404195,,,0,0,0
0,2020-11-10 10:13:00,0,11.5826416015625,0,0,0,0,33.524918695760206,33.524837950849538,,0,11,11,10,11,11,-0.80999998189508915,33.524837950849538,0.46999998949468136,27,27,19,18,1.6000000238418579,1.6000000238418579,0.90000001341104507,0.70000001043081284,1490.290771484375,19.637779588148661,0.017716530863996879,0.0242782089617735,0.0078740137173319465,0.011154852766220256,100,4736,72.52579040527344,0,0.009842517,-0.013123356,0.003280839,0.003280839,0,-0.022965872999999998,-0.03280839,-0.026246712,-0.003280839,-0.006561678,-0.006561678,0,0,0
4,2020-11-10 10:28:00,3.2853415574567042,11.58066463470459,8,9,,,0.28008706556258112,0.33704609267234803,0.28008706556258112,0,624,624,624,624,624,-0.82999998144805431,33.779111707715991,0.46999998949468136,493,492,,,-13.100000195205212,-13.200000196695328,-62.500000931322575,-62.500000931322575,1497.4862060546875,-13.607052042048967,0.0016404195244441554,0.00295275514399948,,,92,512,77.125405502319339,56,0,0.003280839,,,0,0,0.006561678,0.003280839,0.003280839,,,0,0,0
5,2020-11-10 10:43:00,3.2993794346738818,11.582188606262207,9,11,,,0.28140207064453143,0.33787563464164733,0.28140207064453143,0,624,624,624,624,624,-0.86999998055398464,33.798765471296313,0.46999998949468136,502,495,,,-12.200000181794167,-12.900000192224979,-62.500000931322575,-62.500000931322575,1503.565673828125,-13.605737036967016,0.00065616780977766217,0.14074799519730855,,,96,512,81.248018264770508,66,0,0.022965872999999998,,,0,0,0.055774263000000004,0.026246712,0.013123356,,,0,0,0
6,2020-11-10 10:58:00,3.3058655718989183,11.58284854888916,10,13,,,0.28200928025303895,0.37406599832534793,0.28200928025303895,0,624,624,624,624,624,-0.86999998055398464,33.865642506752017,0.46999998949468136,494,498,,,-13.000000193715096,-12.600000187754631,-62.500000931322575,-62.500000931322575,1506.0386962890625,-13.605129827358509,0.0022965873342218174,0.011482936671109089,,,98,512,82.9975601196289,74,0,-0.029527551000000003,,,0,0,-0.072178457999999987,-0.036089228999999994,-0.016404195,,,0,0,0
7,2020-11-10 11:13:00,3.3248433181776038,11.586259841918945,10,12,,,0.28378452569504353,0.34525855816841128,0.28378452569504353,0,624,624,624,624,624,-0.91999997943639755,33.857324753236774,0.48999998904764652,486,491,,,-13.800000205636025,-13.300000198185444,-62.500000931322575,-62.500000931322575,1510.8131103515625,-13.603354581916504,0.0026246712391106487,0.013451440100442075,,,99,512,86.479704284667974,82,0,0.016404195,,,0,0,0.039370068,0.019685034,0.009842517,,,0,0,0
8,2020-11-10 11:28:00,3.3074041798861002,11.586034774780273,9,10,,,0.28215328395298811,0.30416432522773745,0.28215328395298811,0,624,624,624,625,625,-0.88999998010694981,33.823568776178362,0.46999998949468136,462,463,,,-16.200000241398811,-16.100000239908695,-62.500000931322575,-62.600000932812691,1509.9283447265625,-13.604985823658561,0.0026246712391106487,0.0013123356195553243,,,100,512,85.821084213256839,86,0,0,,,0,0,0,0,0,,,0,0,0
9,2020-11-10 11:43:00,3.3420960234293497,11.590193748474121,9,9,,,0.28539661769563429,0.38127344182014467,0.28539661769563429,0,624,624,624,624,624,-0.99999997764825821,33.932637592411041,0.47999998927116394,487,501,,,-13.700000204145908,-12.300000183284283,-62.500000931322575,-62.500000931322575,1525.2803955078125,-13.601742489915912,0.0078740137173319465,0.019356950388441034,,,99,512,98.140922546386719,91,-0.006561678,0.03280839,,,0,0.016404195,0.078740136,0.045931745999999996,0.013123356,,,0,0,0
10,2020-11-10 11:58:00,3.3674029218002572,11.6014986038208,9,8,,,0.28775822552876962,0.36920360616683962,0.28775822552876962,0,624,624,624,624,624,-1.0399999767541885,33.947719303522113,0.50999998860061169,496,491,,,-12.800000190734863,-13.300000198185444,-62.500000931322575,-62.500000931322575,1534.6885986328125,-13.599380882082778,0.004921258573332467,0.017716530863996879,,,100,512,106.73654327392579,95,0,0.013123356,,,0,0,0.03280839,0.016404195,0.006561678,,,0,0,0
11,2020-11-10 12:13:00,3.388332935915932,11.600100517272949,9,10,,,0.28970864241358335,0.35893961956977843,0.28970864241358335,0,624,624,624,624,624,-1.029999976977706,33.96053253640175,0.47999998927116394,485,488,,,-13.900000207126141,-13.600000202655792,-62.500000931322575,-62.500000931322575,1539.7608642578125,-13.597430465197963,0.0062335941928877911,0.030183719249772461,,,100,512,111.74597930908203,93,0.003280839,-0.101706009,,,0,-0.006561678,-0.24278208599999998,-0.12467188199999998,-0.055774263000000004,,,0,0,0
12,2020-11-10 12:28:00,3.412355034167788,11.597409248352051,,,,,0.29194415242666005,0.4772195422077179,0.29194415242666005,0,624,624,624,624,624,-1.0599999763071537,34.14057185865402,0.4999999888241291,,,,,-62.500000931322575,-62.500000931322575,-62.500000931322575,-62.500000931322575,1547.0169677734375,-13.595194955184887,,,,,99,0,119.38374328613281,85,,,,,,,,,,,,0,0,0
13,2020-11-10 12:43:00,3.4077408614549665,11.599567413330078,,,,,0.29151500728264884,0.59885272872924811,0.29151500728264884,0,624,624,624,624,624,-1.0599999763071537,34.364650287837982,0.4999999888241291,,,,,-62.500000931322575,-62.500000931322575,-62.500000931322575,-62.500000931322575,1549.3712158203125,-13.595624100328898,,,,,99,0,121.97922210693359,84,,,,,,,,,,,,0,0,0
14,2020-11-10 12:58:00,3.4181351853077548,11.603916168212891,,,,,0.29248157139540065,0.65946991286277779,0.29248157139540065,0,624,624,624,624,624,-1.0599999763071537,34.54759619752884,0.48999998904764652,,,,,-62.500000931322575,-62.500000931322575,-62.500000931322575,-62.500000931322575,1551.5035400390625,-13.594657536216145,,,,,99,0,124.37727661132813,80,,,,,,,,,,,,0,0,0
15,2020-11-10 13:13:00,3.4159946842007689,11.60783863067627,6,6,,,0.292282576722773,0.29660273112297059,0.292282576722773,0,624,624,624,624,624,-0.96999997831881046,34.186167952051164,0.4999999888241291,497,495,,,-12.700000189244747,-12.900000192224979,-62.500000931322575,-62.500000931322575,1548.1925048828125,-13.594856530888775,0.0016404195244441554,0.0072178459075542848,,,99,512,120.67618865966797,84,0,-0.003280839,,,0,0,-0.006561678,-0.003280839,-0.003280839,,,0,0,0
16,2020-11-10 13:28:00,3.3669906837749508,11.585079193115234,,,,,0.28771978515048841,-0.19513698609352112,0.28771978515048841,0,624,624,624,625,624,-0.86999998055398464,33.533474758968353,0.4999999888241291,,,,,-62.500000931322575,-62.500000931322575,-62.500000931322575,-62.600000932812691,1523.49462890625,-13.59941932246106,,,,,100,0,96.600213623046884,93,,,,,,,,,,,,0,0,0
17,2020-11-10 13:43:00,3.3558122489457887,11.579002380371094,,,,,0.28667705050447168,-0.20613160773277284,0.28667705050447168,0,624,625,624,624,625,-0.86999998055398464,33.358211684131625,0.4999999888241291,,,,,-62.500000931322575,-62.600000932812691,-62.500000931322575,-62.500000931322575,1515.37353515625,-13.600462057107077,,,,,100,0,89.9683853149414,93,,,,,,,,,,,,0,0,0
18,2020-11-10 13:58:00,3.3464509265750517,11.574795722961426,,,,,0.28580327129803207,-0.13699247513771057,0.28580327129803207,0,625,624,624,625,625,-0.84999998100101948,33.28642120778084,0.4999999888241291,,,,,-62.600000932812691,-62.500000931322575,-62.500000931322575,-62.600000932812691,1512.22314453125,-13.601335836313517,,,,,100,0,87.540842819213879,92,,,,,,,,,,,,0,0,0
19,2020-11-10 14:13:00,3.3423239646644958,11.570533752441406,,,,,0.28541790514835863,-0.0865595139503479,0.28541790514835863,0,624,624,624,624,624,-0.8399999812245369,33.212863168926241,0.48999998904764652,,,,,-62.500000931322575,-62.500000931322575,-62.500000931322575,-62.500000931322575,1508.2747802734375,-13.601721202463191,,,,,100,0,84.6048599243164,90,,,,,,,,,,,,0,0,0
20,2020-11-10 14:28:00,3.3418052914564749,11.566637992858887,,,,,0.28536946578049444,-0.029898606901168825,0.28536946578049444,0,624,624,624,624,624,-0.81999998167157173,33.16443387064934,0.48999998904764652,,,,,-62.500000931322575,-62.500000931322575,-62.500000931322575,-62.500000931322575,1503.76123046875,-13.601769641831053,,,,,99,0,81.384355163574213,84,,,,,,,,,,,,0,0,0
21,2020-11-10 14:43:00,3.3380416788626079,11.562294006347656,,,,,0.28501793260205055,0.015624103937149048,0.28501793260205055,0,624,624,624,624,624,-0.81999998167157173,33.120158663311,0.47999998927116394,,,,,-62.500000931322575,-62.500000931322575,-62.500000931322575,-62.500000931322575,1501.1192626953125,-13.602121175009499,,,,,100,0,79.560792922973633,77,,,,,,,,,,,,0,0,0
22,2020-11-10 14:58:00,3.3385487035162047,11.558638572692871,,,,,0.28506529499662475,0.061909355278015138,0.28506529499662475,0,624,624,624,624,624,-0.81999998167157173,33.092059524374008,0.47999998927116394,,,,,-62.500000931322575,-62.500000931322575,-62.500000931322575,-62.500000931322575,1499.79736328125,-13.602073812614924,,,,,97,0,78.665249252319342,75,,,,,,,,,,,,0,0,0
23,2020-11-10 15:13:00,3.3144184515224491,11.565409660339356,9,9,,,0.28280960217029266,0.22637562232971192,0.28280960217029266,0,624,624,624,624,624,-0.8399999812245369,33.237714331998824,0.47999998927116394,446,452,,,-17.800000265240669,-17.200000256299973,-62.500000931322575,-62.500000931322575,1502.279052734375,-13.604329505441253,0.00098425171466649331,0.0016404195244441554,,,98,512,80.355640029907221,73,0,0,,,0,0,0,0,0,,,0,0,0
24,2020-11-10 15:28:00,3.3229460852532138,11.564488410949707,5,5,,,0.28360714457620523,0.18250561433792115,0.28360714457620523,0,624,624,624,624,624,-0.82999998144805431,33.160142586231231,0.47999998927116394,452,452,,,-17.200000256299973,-17.200000256299973,-62.500000931322575,-62.500000931322575,1500.5181884765625,-13.603531963035342,0.0016404195244441554,0.0036089229537771424,,,98,512,79.15244140625,74,0,0,,,0,0,0,0,0,,,0,0,0
25,2020-11-10 15:43:00,3.3264381538499941,11.561521530151367,7,7,,,0.28393361836967329,0.17172794982910156,0.28393361836967329,0,624,624,624,624,624,-0.81999998167157173,33.111962150545125,0.47999998927116394,452,452,,,-17.200000256299973,-17.200000256299973,-62.500000931322575,-62.500000931322575,1499.9619140625,-13.603205489241876,0.00065616780977766217,0.0036089229537771424,,,97,512,78.776331329345709,74,0,0,,,0,0,0,0,0,,,0,0,0
